schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,content.data.description,content.data.website,content.data.foundedYear,content.data.categories,content.data.headquarters,collectedAt
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://openai.com,OpenAI,500,Premier AI Company: Frontier AI & Large Language Models,https://openai.com,2022,"Generative AI, Frontier AI & Large Language Models","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://anthropic.com,Anthropic,150,Premier AI Company: AI Safety & Large Language Models,https://anthropic.com,2022,"Generative AI, AI Safety & Large Language Models","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://mistral.ai,Mistral AI,150,Premier AI Company: Open Weight Frontier Models,https://mistral.ai,2022,"Generative AI, Open Weight Frontier Models","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://cohere.com,Cohere,150,Premier AI Company: Enterprise AI & Embeddings,https://cohere.com,2022,"Generative AI, Enterprise AI & Embeddings","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://huggingface.co,Hugging Face,150,Premier AI Company: AI Community & Model Platform,https://huggingface.co,2022,"Generative AI, AI Community & Model Platform","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://perplexity.ai,Perplexity AI,150,Premier AI Company: Conversational AI Search Engine,https://perplexity.ai,2022,"Generative AI, Conversational AI Search Engine","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://scale.com,Scale AI,500,Premier AI Company: Data Infrastructure for AI,https://scale.com,2022,"Generative AI, Data Infrastructure for AI","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://midjourney.com,Midjourney,150,Premier AI Company: Generative Image & Art AI,https://midjourney.com,2022,"Generative AI, Generative Image & Art AI","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://stability.ai,Stability AI,150,Premier AI Company: Generative Media & Open Foundation Models,https://stability.ai,2022,"Generative AI, Generative Media & Open Foundation Models","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://cursor.com,Cursor,150,Premier AI Company: AI Code Editor & Developer Tools,https://cursor.com,2022,"Generative AI, AI Code Editor & Developer Tools","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://runwayml.com,Runway,150,Premier AI Company: Generative Video & Creative AI,https://runwayml.com,2022,"Generative AI, Generative Video & Creative AI","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://pinecone.io,Pinecone,150,Premier AI Company: Vector Database & Retrieval Infrastructure,https://pinecone.io,2022,"Generative AI, Vector Database & Retrieval Infrastructure","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://qdrant.tech,Qdrant,150,Premier AI Company: Vector Search Engine,https://qdrant.tech,2022,"Generative AI, Vector Search Engine","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://weaviate.io,Weaviate,150,Premier AI Company: Open Source Vector Database,https://weaviate.io,2022,"Generative AI, Open Source Vector Database","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://trychroma.com,Chroma,150,Premier AI Company: Embeddings Database for AI,https://trychroma.com,2022,"Generative AI, Embeddings Database for AI","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://langchain.com,LangChain,150,Premier AI Company: LLM Application Framework,https://langchain.com,2022,"Generative AI, LLM Application Framework","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://llamaindex.ai,LlamaIndex,150,Premier AI Company: Data Framework for LLM Applications,https://llamaindex.ai,2022,"Generative AI, Data Framework for LLM Applications","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
1.0,STARTUP,FrontierAtlas Canonical Knowledge Base,https://together.ai,Together AI,150,Premier AI Company: Fast Cloud AI Inference & GPU Cloud,https://together.ai,2022,"Generative AI, Fast Cloud AI Inference & GPU Cloud","San Francisco, CA",2026-09-12T12:45:40.801126+00:00
